Comment,Designator,Footprint,LCSC
TLV73333PDBV,U11,SOT-23-5,C134139
ICE40HX1K-VQ100,U10,QFP50P1600X1600X120-100N,C1519043
AT25SF081-SSHD-X,U2,SOIC-8_3.9x4.9mm_P1.27mm,C169368
10K,R3,R_0805_2012Metric,C17414
220,"R6,R9",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17557
4.7uF,"C1,C2",C_0805_2012Metric,C1779
SN74LVC8T245DWR,"U4,U5,U6,U7,U8,U9",SOIC-24W_7.5x15.4mm_P1.27mm,C2677350
Conn_ARM_JTAG_SWD_10,J2,PinHeader_2x05_P1.27mm_Vertical_SMD,C2935458
Mini-DIN-5,J4,MD-50SM,C2939346
16MHz,X1,Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm,C386990
TLV73312PDBV,U3,SOT-23-5,C473364
0.1uF,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678
74LCX07,U1,TSSOP-14_4.4x5mm_P0.65mm,C6006
x68000_expansion,J1,x68000_expansion,
MountingHole,H2,MountingHole_3.2mm_M3_Pad,
MountingHole,H1,MountingHole_3.2mm_M3_Pad,
